matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,timePlay,winloss,top1,jug1,mid1,adc1,sp1,top2,jug2,mid2,adc2,sp2
NA1_4239070863,1,0,0,0,-731,-85,-866,2822,1101,2031,200,Mordekaiser,Graves,Zed,Twitch,Lulu,Quinn,Shaco,Jayce,Ezreal,Nami
NA1_4242270504,2,0,1,0,-1645,-436,-348,885,471,2091,200,Yorick,LeeSin,Ahri,Jhin,Nautilus,TahmKench,Rammus,Cassiopeia,Vayne,Pyke
NA1_4237711572,1,1,0,0,3485,1255,-323,-1320,-753,2624,100,Darius,Volibear,Ahri,Sivir,Janna,Nocturne,Trundle,Veigar,Jinx,Senna
NA1_4242300478,0,1,0,0,-1161,-1292,2692,-2708,-701,1500,100,Vayne,Zac,Yasuo,Twitch,Renata,Nasus,Nocturne,Morgana,Jinx,Thresh
NA1_4236454345,1,0,0,1,-1962,1440,-1153,3513,2805,1492,100,Garen,Rammus,Malzahar,Aphelios,Lux,Volibear,XinZhao,Yasuo,Samira,Alistar
NA1_4252008055,0,1,0,1,744,68,-357,-1988,241,1976,200,Yone,Shaco,Ahri,Ezreal,Karma,Camille,Evelynn,Kaisa,Ashe,Zilean
NA1_4258106960,1,1,0,0,1428,511,-960,-2007,-458,1840,100,Tryndamere,Kayn,Malzahar,Jinx,Rakan,Garen,Zed,Heimerdinger,Samira,Pantheon
NA1_4242702364,0,1,1,0,-476,969,-1014,441,621,1683,100,Samira,Lillia,Fizz,Kaisa,Blitzcrank,Yone,LeeSin,Talon,Ezreal,Yuumi
NA1_4253515655,1,0,1,0,965,2592,451,4159,3149,1127,100,Trundle,Diana,TwistedFate,Draven,Vi,Tryndamere,Shaco,Yasuo,Zeri,Yuumi
NA1_4248041957,1,0,1,0,821,653,-358,15,1596,2413,200,Jax,JarvanIV,Zed,Ezreal,Velkoz,Urgot,MasterYi,Lissandra,Kaisa,Leona
NA1_4259235711,0,2,0,0,1236,-1553,-1328,-134,428,1870,200,Illaoi,Jax,Tryndamere,Ezreal,Zyra,Kayle,LeeSin,Yasuo,Jhin,Seraphine
NA1_4254883883,0,2,1,0,3972,-455,330,-638,-1707,1486,100,Irelia,Evelynn,Veigar,Vayne,Nautilus,Gnar,Viego,Diana,Caitlyn,Senna
NA1_4255140723,1,0,0,1,1377,-1465,-2293,-1601,1240,1802,200,Kennen,Graves,Lillia,Samira,Renata,Fiora,Vi,Veigar,Yasuo,Nautilus
NA1_4248858190,0,1,0,1,2039,-794,-1108,-787,-542,1437,200,Riven,Trundle,Leblanc,Jhin,Annie,Shaco,Mordekaiser,Ezreal,Jinx,Thresh
NA1_4257115030,1,1,0,0,-1828,371,668,1014,-372,2171,200,Tryndamere,Lillia,Zed,Tristana,Alistar,Teemo,MasterYi,TwistedFate,Aphelios,Senna
NA1_4241764358,0,2,1,0,-575,-489,1340,-1286,-644,1763,100,Tryndamere,Hecarim,Akali,KogMaw,Yuumi,Nasus,Vi,Ziggs,Twitch,Brand
NA1_4254206970,0,1,0,1,-1533,154,357,1084,-392,1531,200,Yorick,Twitch,Jayce,Veigar,Shaco,Sion,Mordekaiser,Anivia,Aphelios,Lux
NA1_4250794683,0,1,0,0,-977,2296,-2579,1252,-301,1561,200,Sylas,Udyr,Ahri,Lucian,Nami,MonkeyKing,FiddleSticks,Graves,Ziggs,Pantheon
NA1_4251242141,0,1,0,0,-2426,-290,-584,-1522,612,1272,200,Jayce,Evelynn,Annie,Ashe,Pyke,Graves,Ekko,Vex,Kaisa,Nautilus
NA1_4239684751,1,0,0,1,-1053,-1673,1702,-96,-497,2019,200,Graves,LeeSin,Katarina,Kaisa,Thresh,Garen,Sejuani,Morgana,Ezreal,Sona
NA1_4240721655,0,2,1,0,375,1076,-355,-418,-184,1555,100,Sett,Viego,Yone,Vayne,Karma,Mordekaiser,Sejuani,Diana,Samira,Leona
NA1_4243649409,2,0,1,0,609,837,1831,2017,339,2212,100,Ornn,Warwick,Malzahar,Jhin,Pantheon,Graves,Kayn,Anivia,Samira,Lux
NA1_4249926044,1,0,1,0,1012,1360,571,333,582,1885,100,Sion,Viego,Fizz,Vayne,Sona,Malphite,Graves,Orianna,Caitlyn,Veigar
NA1_4239753731,0,2,1,0,842,-171,906,247,-908,1754,200,Diana,XinZhao,Zed,Samira,Thresh,Shen,Volibear,Lux,Jinx,Pyke
NA1_4257209107,2,0,0,1,-2080,-1164,235,1879,782,1810,100,Jax,MasterYi,Ziggs,Ezreal,FiddleSticks,Tryndamere,Nocturne,Yasuo,Ashe,Lux
NA1_4247399097,0,1,0,1,-2019,2524,1124,1149,708,2083,200,Garen,Kindred,Vladimir,Jinx,Blitzcrank,Jayce,XinZhao,Veigar,Senna,Soraka
NA1_4241370402,0,2,0,1,-1238,1062,-583,-554,18,2102,100,Shen,Diana,Fizz,Ashe,Blitzcrank,Jayce,MasterYi,Qiyana,Jhin,Zyra
NA1_4245468735,2,0,1,0,-1500,-139,1759,-467,-136,2702,100,Sett,Shaco,Vladimir,Kaisa,Soraka,Tryndamere,JarvanIV,Orianna,Veigar,Janna
