t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff
1,0,0,1,612,-306,2230,-908,-645
2,0,0,1,897,-261,-74,-2332,-945
0,1,0,1,428,1436,906,-31,-16
0,2,1,0,1242,2588,3154,1025,381
0,2,1,0,-1993,-2785,185,-164,-1180
1,0,1,0,1317,-767,5,-23,-21
0,1,0,0,-142,1556,162,-2021,-114
0,1,0,1,480,-4282,-3065,-1460,-2505
0,1,0,1,-117,-616,2468,-1717,881
1,0,1,0,561,-523,133,1801,144
0,1,0,0,568,2178,-1610,1807,1083
1,1,0,1,-1166,448,-2125,-311,-163
0,2,1,0,-1058,-867,303,-808,-514
2,0,1,0,1400,1321,-1003,1760,889
2,0,1,0,-922,1280,479,1867,-445
0,1,1,0,1872,644,1582,-2666,-1085
1,1,1,0,4096,1134,-3,-580,-715
0,2,0,0,996,-497,-153,-2423,-1173
0,1,1,0,-1331,-775,-4167,-6340,-1475
1,0,1,0,-224,353,3016,709,718
2,0,0,0,109,824,758,228,-653
1,0,1,0,-118,-208,-368,2125,797
0,1,1,0,1144,-300,-634,1325,1761
2,0,1,0,-20,-520,-2408,1334,1030
0,1,0,1,1053,882,2207,1576,1611
0,1,1,0,-158,-233,402,852,643
0,1,0,1,359,219,-64,-1858,381
1,0,1,0,539,769,1145,360,-120
0,2,0,1,-790,474,-416,-2854,-2336
1,0,0,0,1806,-654,1007,-438,11
0,2,1,0,319,1469,-192,482,23
2,0,0,1,-1621,-244,2688,1727,-11
1,0,1,0,2229,2038,1381,-411,580
1,0,0,1,207,-422,-1539,1217,231
1,0,0,0,-3058,283,633,497,808
1,0,0,1,702,774,26,495,237
1,1,0,1,-1474,-837,1184,-417,736
1,1,1,0,1875,-124,-1797,-871,-4
2,0,0,0,549,-906,1257,3776,210
1,1,1,0,331,1125,343,2538,308
2,0,0,1,-762,-655,-1687,-549,-1154
1,0,0,1,-253,667,2019,-1503,-1096
1,0,1,0,1778,1083,2690,589,-16
0,0,0,0,0,0,0,0,0
0,1,1,0,-1240,1607,2693,59,-560
1,0,0,0,-1811,220,-806,-668,-641
0,1,0,0,-137,362,867,-2013,-43
0,1,1,0,-908,-709,-571,1138,1172
